no,2,0.0,3,1,2,0,0.0,0.0,
dove vivere,4,0.0,2,1,0,0.0098,0.0,0.0,
andare impollinare pianta albero frutto preppine scroscianti catastrofe questo consumare piu anno silenzio pressoche totale media troppo spesso sottovalutare problematica legato al ambiente ape stare diminuendo modo spaventoso tutto mondo alcuni pensare questo fenomeno potere comportare semplicemente diminuzione produzione miele non esattamente coso ape essere responsabile del impollinazione centinaio specie pianta sia coltivato selvatico conseguenza mancare impollinazione riflettere sul agricoltura sul intero ecosistema pianeta pratica non solo niente miele niente frutto meno verdura niente fiore,112,0.0,6,1,12,-0.0027,0.0267,0.0,
mandare quello paese questo zingaro bugiardo,9,0.0,1,0,0,0.0005,0.0,0.0455,
complimento chi sostenere ancora questo politica marcia clapping_hands ,9,0.0,2,0,1,0.0361,0.0,0.0,
troppo poco caro salvini castrazione,6,0.0,1,0,0,0.1354,-0.2,0.0,
non primo qualcuno stupro boldrini fino saziare questo scempio non fare finire,16,0.9375,2,0,1,-0.0179,0.0,0.0128,
no essere essere orticanti,4,0.0,3,2,0,0.6211,0.0,0.0,
dire questo legge essere chi,11,0.0,3,2,0,0.0635,0.0,0.0,
popolo inutile zingaro parassita delinquente,8,0.0,1,0,0,-0.1375,0.0,0.0682,
meno male avere avere giornata triste motivo famigliare non avere guardare tivu odio castaldini librandi malpezzi gente solo comparire pubblico prendere giro bastare vedere sorrisetto supponenza perennemente stampato volto librandi gente cervello completamente vuoto quello riguardare amministrazione cosa pubblico bastare ascoltare isterica castaldini sapere solo parlare macchinetta sopra voce altro piu grande disgrazia,80,0.0125,4,0,3,0.0248,0.0189,0.0024,
brutto sbugiardava fare schifo,6,0.0,1,0,0,-0.1589,0.25,0.0333,
questo befana non venire torcicollo fare sempre no testa,15,0.0,2,1,0,0.0371,0.0,0.0,
voterei sapere tipo collare usato poltrona non stracca sedere non fata altro dire scazziate prendere fondello essere stanco,28,1.0,1,0,0,0.019,0.1667,0.0,
mai vedere gallina tanto plagiare,5,0.0,1,0,0,-0.1257,0.0,0.0,
ieri avere cambiare canale malpezzi castaldini librandi essere veramente insopportabile debbio insistere proporre sempre avere decidere non guardare piu questo programma,28,0.0,2,0,3,-0.0099,0.0476,0.0059,
cacciare via tanto fa solo danno non gliene fregare niente italiano chissa pensare solo manghi negro,20,0.0,2,1,2,0.0212,0.0625,0.01,
bastare questo campo roma dovere porco rimedio fretta non essere piu tollerabile covo delinquente incallito senza scrupolo sorprendere solo gente quello subire non cominciare fare giustizia solo,34,0.0,4,0,6,-0.0096,0.037,0.0155,
prendere schiaffo castaldini molto volentieri ignorante stupido odioso antipatico,12,0.0,4,2,3,-0.1736,0.0,0.037,
italiano bruciare strega,4,0.75,2,0,1,-0.1328,0.0,0.0,
augurare italiano aprire finalmente occhio,10,0.0,2,0,1,-0.0311,0.0,0.0,
grande grande zia,4,0.5,2,1,1,0.1719,0.3333,0.0,
essere gratuito italiano non tutto chiaro,12,0.0,4,1,2,-0.0234,0.0,0.0,
castrazione chimico legge legittima difesa salvini non fermare strapazziamo via sinistra,16,1.0,1,0,0,0.0056,0.0,0.0,
questo cavolo presidente stare mettere quello infame napoletano senza spina dorsale pronto prendere ordine pdf buffone,24,0.0,3,1,1,-0.0007,0.0625,0.0169,
vivo nana,3,0.0,1,0,0,0.0914,0.5,0.0,
schifo donna,4,0.0,1,0,0,-0.125,0.0,0.0,
questo verme stare italia,7,0.0,2,1,0,-0.0208,0.0,0.04,
stazzi,2,0.0,4,1,3,0,1.0,0.0,
malpezzi andare finire piacere sei ridicola,8,0.0,1,0,0,-0.0273,0.0,0.0,
domare racchio pdf dovere scioglitore essere rompicoglioni essere buono forse ad fare badare,18,0.0556,2,0,1,0.1395,0.1538,0.0217,
mattarella avere volere come presidente insabbiare tutto cosa meravigliare capo mafioso,16,0.0,3,0,3,0.021,0.0,0.0115,
maya,1,0.0,1,0,0,0,0.0,0.0,
quale castrazione bisogna tagliare coglione fare ingoiare,10,0.0,1,0,0,0.0256,0.0,0.0175,
quando guardo questo programma venire rabbia no sabbie mandare pulire cesso forse meglio qui andare sempre peggio colpa nostro invece stare divano fare qualcosa,34,0.0,5,2,2,-0.0346,0.0417,0.0,
meritare russo grande,5,0.0,1,0,0,0.1901,0.0,0.0,
oltre odioso quello pdf pure cesso oltre non puo sentire cazzata dire non puo vedere,27,0.037,1,0,0,0.0154,0.0667,0.0238,
aiutare picchiare,3,0.0,1,0,0,-0.0024,0.0,0.0,
matteo questo balordo pdf avere rotto tutto profugo roma non sapere come coraggio avere ancora parlare fare schifo tutto questo fasullo ciarlatano non potere piu sperare tanto cambiamento radicale questo europeista liberare nostro caro patria,48,0.0417,3,1,9,-0.0009,0.0857,0.0165,
essere popolo coglione vigliacco piangere addosso senza fare nulla non avere palla protestare questo bene tutto questo,26,0.0,2,1,2,0.1268,0.0,0.0254,
gallina,1,0.0,1,0,0,-0.25,0.0,0.0,
questo bene ribellare,5,0.0,3,0,2,0.3041,0.0,0.0,
solo vedere danno voltastomaco,6,0.0,2,1,0,0.0096,0.0,0.0,
chi truppa andare eliminare fisicamente,6,0.0,3,0,2,0,0.2,0.0,
irritante gia solo espressione viso,7,0.1429,1,0,0,-0.0417,0.0,0.0,
odioso muovere sistema nervoso castaldini vedere strisce trovare altro lavoro come talaltra faccia culo,19,0.0,4,3,1,-0.0306,0.1429,0.0097,
